unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO,17,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q18#1,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO,18,主观题,1,小问,IN,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q18#2,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO,20,主观题,,整题,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q21,BJ-2023-DC-ERMO-Q21,BJ-2023-DC-ERMO,21,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q1,BJ-2023-BJ-GAOKAO-Q1,BJ-2023-BJ-GAOKAO,1,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q2,BJ-2023-BJ-GAOKAO-Q2,BJ-2023-BJ-GAOKAO,2,选择题,,整题,IN,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q4,BJ-2023-BJ-GAOKAO-Q4,BJ-2023-BJ-GAOKAO,4,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q5,BJ-2023-BJ-GAOKAO-Q5,BJ-2023-BJ-GAOKAO,5,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
