qid,exam,num,type,category,dup_of,dup_covered_by,mention_in,md,bank_status
BJ-2026-SJS-QIMO-Q7,BJ-2026-SJS-QIMO,7,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-SJS-QIMO-Q12,BJ-2026-SJS-QIMO,12,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-BJ-GAOKAO-Q16,BJ-2026-BJ-GAOKAO,16,非选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-BJ-GAOKAO-Q5,BJ-2026-BJ-GAOKAO,5,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-BJ-GAOKAO-Q15,BJ-2026-BJ-GAOKAO,15,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-SJS-QIMO-Q15,BJ-2026-SJS-QIMO,15,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2023-HD-YIMO-Q1,BJ-2023-HD-YIMO,1,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-HD-YIMO-Q5,BJ-2023-HD-YIMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-HD-YIMO-Q6,BJ-2023-HD-YIMO,6,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-HD-YIMO-Q8,BJ-2023-HD-YIMO,8,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-HD-YIMO-Q9,BJ-2023-HD-YIMO,9,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-FT-ERMO-Q20,BJ-2026-FT-ERMO,20,非选择题,scattered_in_processed_exam,,,,True,已验收
